species,pulse_rate_low,pulse_rate_high,low_f,high_f,reject_low,reject_high,window_length,score,t,max_score,time_of_max_score
Chorus frog,16,40,2500,4000,0,2000,2.0,"[3.2500390144493193e-06, 5.801447082919901e-06, 9.551969077025937e-06, 1.4846515109012422e-05, 7.20137742853964e-06, 5.479920164111909e-06, 7.678316376652447e-06, 8.12659428177074e-06, 5.672717116487688e-06, 6.653043750823905e-06, 4.195701290636413e-06, 3.7357589889274674e-06, 6.6037131566419975e-06, 1.0906428101669344e-05, 1.5674260578693147e-05, 1.0072739566848058e-05, 1.1340738797339192e-05, 1.068871284672846e-05, 8.506884345200445e-06, 1.1104020564912416e-05, 1.120065809557751e-05, 1.4966454596842588e-05, 1.8958975278076696e-05]","[0.0, 2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 18.0, 20.0, 22.0, 24.0, 26.0, 28.0, 30.0, 32.0, 34.0, 36.0, 38.0, 40.0, 42.0, 44.0]",1.8958975278076696e-05,44.0
great plains toad,7,18,2000,3000,0,1000,15.0,"[0.0002718100048208053, 0.0005690390622569361, 0.00047514692, 0.00040189223, 0.00057994, 0.00034554987, 0.00039256216, 0.00043337233, 0.00048808544, 0.00051435985, 0.0007436124, 0.0007989852889683302, 0.0008075010697968804, 0.0005887583053883069, 0.00043281727, 0.0003687196, 0.00045033346, 0.0004648417, 0.0006286908829177401, 0.000908370064970198, 0.0001388154024578076, 0.0001552719403460541, 0.00022877016916655616]","[0.0, 2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 18.0, 20.0, 22.0, 24.0, 26.0, 28.0, 30.0, 32.0, 34.0, 36.0, 38.0, 40.0, 42.0, 44.0]",0.000908370064970198,38.0
northern leopard frog,15,30,1000,1500,0,500,2.0,"[1.6637013860045666e-06, 3.1423272743529193e-06, 2.9155657794036147e-06, 4.701847271423706e-06, 3.6979163281179884e-06, 2.628235173919404e-06, 6.111995214169149e-06, 4.076330914856003e-06, 3.4581424063852097e-06, 7.116332895736921e-06, 3.7639912573265763e-06, 2.032287813134638e-06, 3.7557337204445752e-06, 5.892896770157595e-06, 7.470352687984107e-06, 6.670304596597368e-06, 7.206266780995212e-06, 6.29987338439374e-06, 5.08101927392769e-06, 5.585508731252252e-06, 6.422839082373554e-07, 5.817734516917052e-07, 1.1029788201200245e-06]","[0.0, 2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 18.0, 20.0, 22.0, 24.0, 26.0, 28.0, 30.0, 32.0, 34.0, 36.0, 38.0, 40.0, 42.0, 44.0]",7.470352687984107e-06,28.0
spadefoot toad,1,2,1000,2000,0,500,5.0,"[1.0594443312105714e-05, 2.4291446978269906e-05, 1.027778204489321e-05, 2.669954856170439e-05, 1.0010965250848444e-05, 2.9950880303490986e-06, 0.00010319260276200067, 2.362683986683449e-05, 4.634107276346073e-05, 7.130055482154363e-05, 3.34230484691724e-05, 4.9024073148100306e-05, 2.667075409194549e-05, 4.139503785398175e-05, 2.2421849948192466e-05, 4.7741522350134754e-05, 2.272280182926626e-05, 2.484097596097967e-05, 3.0864623961210006e-05, 2.0884407081110413e-05, 2.954356264469807e-05, 2.5428362564894202e-05, 3.864825752053816e-05]","[0.0, 2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 18.0, 20.0, 22.0, 24.0, 26.0, 28.0, 30.0, 32.0, 34.0, 36.0, 38.0, 40.0, 42.0, 44.0]",0.00010319260276200067,12.0
spadefoot toad (81Hz),70,90,1000,2000,0,500,0.5,"[3.0814845420079957e-06, 4.306986380019167e-06, 5.415654628289309e-06, 6.054611316641504e-06, 9.106696253076954e-06, 8.776539713632198e-06, 7.850333336890567e-06, 1.0805945797457844e-05, 1.3579018869263782e-05, 1.4185579691681417e-05, 6.628462615562992e-06, 7.68835627553044e-06, 7.279189188754188e-06, 1.069030912595832e-05, 1.18920172932865e-05, 1.2878259247705957e-05, 1.1367913911868312e-05, 9.535337598859539e-06, 8.566347406329984e-06, 1.1300234244738395e-05, 6.645809103973028e-06, 1.0086483189600105e-05, 1.206968388863879e-05]","[0.0, 2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 18.0, 20.0, 22.0, 24.0, 26.0, 28.0, 30.0, 32.0, 34.0, 36.0, 38.0, 40.0, 42.0, 44.0]",1.4185579691681417e-05,18.0
