species,pulse_rate_low,pulse_rate_high,low_f,high_f,reject_low,reject_high,window_length,score,t,max_score,time_of_max_score
Chorus frog,16,40,2500,4000,0,2000,2.0,"[3.7678293192170487e-06, 3.7673481082101374e-06, 3.454049999746183e-06, 3.5254580099288085e-06, 2.9589592943656763e-06]","[0.0, 2.0, 4.0, 6.0, 8.0]",3.7678293192170487e-06,0.0
great plains toad,7,18,2000,3000,0,1000,15.0,"[6.1310035018454136e-06, 4.067743333437454e-06, 4.216261440695183e-06, 4.714590624428302e-06, 4.268840606906055e-06]","[0.0, 2.0, 4.0, 6.0, 8.0]",6.1310035018454136e-06,0.0
northern leopard frog,15,30,1000,1500,0,500,2.0,"[1.2832093738897077e-05, 1.3101839905406943e-05, 1.7973985551618525e-05, 1.3127703817943879e-05, 1.1394665880998894e-05]","[0.0, 2.0, 4.0, 6.0, 8.0]",1.7973985551618525e-05,4.0
spadefoot toad,1,2,1000,2000,0,500,5.0,"[9.49055071971458e-06, 1.0222386372799245e-05, 6.886865649119779e-06, 5.276267993007903e-06, 6.3572764006441305e-06]","[0.0, 2.0, 4.0, 6.0, 8.0]",1.0222386372799245e-05,2.0
spadefoot toad (81Hz),70,90,1000,2000,0,500,0.5,"[5.813727907147359e-06, 7.044397169718664e-06, 1.1273120465130139e-05, 5.966222054954781e-06, 1.1090558441103307e-05]","[0.0, 2.0, 4.0, 6.0, 8.0]",1.1273120465130139e-05,4.0
